AAPL.date,AAPL.price,AAPL.return,AAPL.growth_rate,AAPL.RV_SquareReturn,AAPL_RV.5min.date,AAPL_RV.5min,AAPL_RV_overnight.5min.date,AAPL_RV_overnight.5min,AAPL_RK.5min.date,AAPL_RK.5min,AAPL_BPV.5min.date,AAPL_BPV.5min
2010-11-11,11.31,-0.441112316,-0.440140845,0.194580076,2010/11/11,0.951648303,2010/11/11,1.898432696,2010/11/11,0.744447732,2010/11/11,0.612353264
2010-11-12,11.0,-2.779201733,-2.740937224,7.723962273,2010/11/12,2.949659358,2010/11/12,2.980985242,2010/11/12,4.722798809,2010/11/12,2.614928097
2010-11-15,10.97,-0.273099851,-0.272727273,0.074583529,2010/11/15,1.409327266,2010/11/15,1.442325112,2010/11/15,0.178527294,2010/11/15,1.398596907
2010-11-16,10.77,-1.839978312,-1.823154057,3.385520188,2010/11/16,2.141751033,2010/11/16,2.350445045,2010/11/16,2.315575179,2010/11/16,2.000794248
2010-11-17,10.73,-0.372093453,-0.371402043,0.138453537,2010/11/17,1.929390041,2010/11/17,1.93801927,2010/11/17,0.939046827,2010/11/17,1.767897315
2010-11-18,11.02,2.666824708,2.702702703,7.111954024,2010/11/18,0.462401339,2010/11/18,2.653209927,2010/11/18,0.70581747,2010/11/18,0.402245706
2010-11-19,10.95,-0.637234746,-0.635208711,0.406068122,2010/11/19,0.64951458,2010/11/19,0.682512426,2010/11/19,0.376865506,2010/11/19,0.523513945
2010-11-22,11.19,2.168106606,2.191780822,4.700686256,2010/11/22,1.458346516,2010/11/22,1.458346516,2010/11/22,2.127439112,2010/11/22,1.297568884
2010-11-23,11.03,-1.440168906,-1.429848079,2.074086477,2010/11/23,1.306749839,2010/11/23,2.112565032,2010/11/23,0.599900421,2010/11/23,0.789806693
2010-11-24,11.24,1.88600112,1.903898459,3.557000225,2010/11/24,0.531921738,2010/11/24,1.702789571,2010/11/24,0.562229532,2010/11/24,0.461648178
2010-11-26,11.28,0.35524016,0.355871886,0.126195572,2010/11/26,0.478747943,2010/11/26,0.550176245,2010/11/26,0.845914063,2010/11/26,0.443641473
2010-11-29,11.32,0.353982671,0.354609929,0.125303731,2010/11/29,1.996787435,2010/11/29,2.004653671,2010/11/29,1.302564002,2010/11/29,1.899868152
2010-11-30,11.11,-1.872546912,-1.855123675,3.506431939,2010/11/30,1.035843368,2010/11/30,1.989363528,2010/11/30,0.283468021,2010/11/30,0.845741007
2010-12-01,11.3,1.695712207,1.710171017,2.875439888,2010/12/1,0.320449046,2010/12/1,2.119003368,2010/12/1,0.106941166,2010/12/1,0.208868567
2010-12-02,11.36,0.529568757,0.530973451,0.280443069,2010/12/2,0.685818738,2010/12/2,0.880742596,2010/12/2,0.476490076,2010/12/2,0.612939051
2010-12-03,11.34,-0.176211499,-0.176056338,0.031050492,2010/12/3,0.560845337,2010/12/3,0.685266648,2010/12/3,0.116836294,2010/12/3,0.489325555
2010-12-06,11.43,0.790517951,0.793650794,0.62491863,2010/12/6,0.778349289,2010/12/6,0.902332881,2010/12/6,0.542947445,2010/12/6,0.527276125
2010-12-07,11.36,-0.614306451,-0.612423447,0.377372416,2010/12/7,0.868399609,2010/12/7,2.147421599,2010/12/7,1.151295451,2010/12/7,0.705554181
2010-12-08,11.46,0.876429799,0.88028169,0.768129193,2010/12/8,0.69323585,2010/12/8,0.970732064,2010/12/8,0.584984155,2010/12/8,0.544951265
2010-12-09,11.42,-0.349650706,-0.34904014,0.122255616,2010/12/9,0.596372971,2010/12/9,0.78590359,2010/12/9,0.135833678,2010/12/9,0.420233778
2010-12-10,11.45,0.262352577,0.262697023,0.068828875,2010/12/10,0.36027285,2010/12/10,0.367947317,2010/12/10,0.160274511,2010/12/10,0.301198293
2010-12-13,11.49,0.348736186,0.349344978,0.121616927,2010/12/13,0.508672376,2010/12/13,2.202670447,2010/12/13,0.674790423,2010/12/13,0.352879833
2010-12-14,11.44,-0.436110591,-0.43516101,0.190192447,2010/12/14,0.806930545,2010/12/14,0.814511747,2010/12/14,0.291349508,2010/12/14,0.694096729
2010-12-15,11.44,0.0,0.0,0.0,2010/12/15,0.670217058,2010/12/15,0.677864703,2010/12/15,0.466532601,2010/12/15,0.538016197
2010-12-16,11.47,0.261894519,0.262237762,0.068588739,2010/12/16,0.516955985,2010/12/16,0.585544724,2010/12/16,0.15804129,2010/12/16,0.477613989
2010-12-17,11.45,-0.174520114,-0.174367916,0.03045727,2010/12/17,0.190192251,2010/12/17,0.197786672,2010/12/17,0.044471821,2010/12/17,0.119480411
2010-12-20,11.51,0.522649273,0.524017467,0.273162263,2010/12/20,0.799981937,2010/12/20,0.86845108,2010/12/20,0.805227565,2010/12/20,0.693675952
2010-12-21,11.58,0.606324941,0.608166811,0.367629934,2010/12/21,0.306895501,2010/12/21,0.374653588,2010/12/21,0.17382505,2010/12/21,0.199990732
2010-12-22,11.61,0.258732356,0.259067358,0.066942432,2010/12/22,0.252561621,2010/12/22,0.252561621,2010/12/22,0.119651103,2010/12/22,0.151847946
2010-12-23,11.56,-0.431593247,-0.430663221,0.18627273,2010/12/23,0.253975368,2010/12/23,0.253975368,2010/12/23,0.101777797,2010/12/23,0.187575339
2010-12-27,11.6,0.345423487,0.346020761,0.119317385,2010/12/27,0.352789755,2010/12/27,0.382774216,2010/12/27,0.503894641,2010/12/27,0.271167379
2010-12-28,11.62,0.172265331,0.172413793,0.029675344,2010/12/28,0.391917641,2010/12/28,0.510414977,2010/12/28,0.048379328,2010/12/28,0.255535885
2010-12-29,11.62,0.0,0.0,0.0,2010/12/29,0.118280842,2010/12/29,0.184763782,2010/12/29,0.038752012,2010/12/29,0.046453745
2010-12-30,11.56,-0.517688818,-0.516351119,0.268001712,2010/12/30,0.224159682,2010/12/30,0.224159682,2010/12/30,0.132959499,2010/12/30,0.152565851
2010-12-31,11.52,-0.346620798,-0.346020761,0.120145977,2010/12/31,0.279846101,2010/12/31,0.347369628,2010/12/31,0.087362083,2010/12/31,0.237653354
2011-01-03,11.77,2.1469266,2.170138889,4.609293828,2011/1/3,0.756151954,2011/1/3,1.659281204,2011/1/3,1.561636459,2011/1/3,0.708780574
2011-01-04,11.83,0.508475672,0.509770603,0.258547509,2011/1/4,0.992239453,2011/1/4,1.708004073,2011/1/4,0.505124096,2011/1/4,0.67837492
2011-01-05,11.93,0.841755812,0.845308538,0.708552847,2011/1/5,0.318422315,2011/1/5,0.576969824,2011/1/5,0.45488403,2011/1/5,0.210837134
2011-01-06,11.92,-0.083857447,-0.083822297,0.007032071,2011/1/6,0.39307962,2011/1/6,0.456156566,2011/1/6,0.086858697,2011/1/6,0.275512033
2011-01-07,12.0,0.668898815,0.67114094,0.447425625,2011/1/7,0.845735606,2011/1/7,0.852767677,2011/1/7,0.558176369,2011/1/7,0.752702732
2011-01-10,12.23,1.898529991,1.916666667,3.604416127,2011/1/10,0.800104123,2011/1/10,1.488805404,2011/1/10,0.716904767,2011/1/10,0.712945365
2011-01-11,12.2,-0.245599796,-0.245298446,0.06031926,2011/1/11,1.066512095,2011/1/11,1.491614856,2011/1/11,0.307923165,2011/1/11,0.937095387
2011-01-12,12.3,0.816331064,0.819672131,0.666396406,2011/1/12,0.305628614,2011/1/12,0.546314891,2011/1/12,0.076342781,2011/1/12,0.2504224
2011-01-13,12.35,0.40568007,0.406504065,0.164576319,2011/1/13,0.328472392,2011/1/13,0.354868755,2011/1/13,0.311511643,2011/1/13,0.237484606
2011-01-14,12.45,0.806455984,0.809716599,0.650371254,2011/1/14,0.417884236,2011/1/14,0.417884236,2011/1/14,0.341157608,2011/1/14,0.318256148
2011-01-18,12.17,-2.274671591,-2.248995984,5.174130847,2011/1/18,3.864844701,2011/1/18,35.41182843,2011/1/18,3.066420655,2011/1/18,3.688644778
2011-01-19,12.1,-0.57684544,-0.575184881,0.332750661,2011/1/19,3.37730318,2011/1/19,8.192334802,2011/1/19,2.658615895,2011/1/19,2.954246465
2011-01-20,11.88,-1.834913867,-1.818181818,3.366908899,2011/1/20,2.812015889,2011/1/20,3.36940005,2011/1/20,2.175580791,2011/1/20,3.107335112
2011-01-21,11.67,-1.783486764,-1.767676768,3.180825036,2011/1/21,1.112901386,2011/1/21,1.22588797,2011/1/21,2.437086558,2011/1/21,0.664698377
2011-01-24,12.05,3.204321364,3.256212511,10.2676754,2011/1/24,0.948160004,2011/1/24,0.955496459,2011/1/24,1.332732708,2011/1/24,0.809575968
2011-01-25,12.19,1.155128356,1.161825726,1.334321518,2011/1/25,1.08727747,2011/1/25,1.197835306,2011/1/25,1.39285915,2011/1/25,1.075347788
2011-01-26,12.28,0.735597923,0.73831009,0.541104304,2011/1/26,0.835045401,2011/1/26,1.076125763,2011/1/26,0.503450686,2011/1/26,0.655953073
2011-01-27,12.26,-0.162999221,-0.16286645,0.026568746,2011/1/27,0.397969241,2011/1/27,0.397969241,2011/1/27,0.055962819,2011/1/27,0.281195789
2011-01-28,12.0,-2.143528072,-2.120717781,4.594712595,2011/1/28,1.62620217,2011/1/28,1.685933192,2011/1/28,2.559468088,2011/1/28,1.817975545
2011-01-31,12.12,0.995033085,1.0,0.990090841,2011/1/31,0.674128602,2011/1/31,0.681078838,2011/1/31,0.931281222,2011/1/31,0.550663424
2011-02-01,12.32,1.636697746,1.650165017,2.678779513,2011/2/1,0.403719437,2011/2/1,0.735375969,2011/2/1,0.431768108,2011/2/1,0.291103144
2011-02-02,12.3,-0.162469573,-0.162337662,0.026396362,2011/2/2,0.509026901,2011/2/2,0.535423263,2011/2/2,0.015061308,2011/2/2,0.404866151
2011-02-03,12.27,-0.244200366,-0.243902439,0.059633819,2011/2/3,1.027616606,2011/2/3,1.054098949,2011/2/3,0.888181903,2011/2/3,0.5256548
2011-02-04,12.38,0.892500853,0.896495518,0.796557773,2011/2/4,0.492589551,2011/2/4,0.492589551,2011/2/4,0.050439804,2011/2/4,0.299008972
2011-02-07,12.57,1.523075535,1.534733441,2.319759084,2011/2/7,0.399675399,2011/2/7,0.503733852,2011/2/7,0.933442283,2011/2/7,0.338936287
2011-02-08,12.69,0.950125912,0.954653938,0.902739249,2011/2/8,0.437177709,2011/2/8,0.663935935,2011/2/8,0.073835715,2011/2/8,0.382894982
2011-02-09,12.79,0.784933386,0.788022065,0.616120421,2011/2/9,0.582870948,2011/2/9,0.589085633,2011/2/9,0.62710847,2011/2/9,0.40500715
2011-02-10,12.66,-1.021619887,-1.016419077,1.043707194,2011/2/10,3.729230138,2011/2/10,3.784377036,2011/2/10,1.852286035,2011/2/10,3.574915156
2011-02-11,12.74,0.629923343,0.631911532,0.396803418,2011/2/11,0.320506915,2011/2/11,0.326741243,2011/2/11,0.093915716,2011/2/11,0.251596339
2011-02-14,12.83,0.703952848,0.706436421,0.495549613,2011/2/14,0.237461422,2011/2/14,0.237461422,2011/2/14,0.026312419,2011/2/14,0.153046796
2011-02-15,12.85,0.155763271,0.155884645,0.024262197,2011/2/15,0.438208092,2011/2/15,0.438208092,2011/2/15,0.108941261,2011/2/15,0.344294387
2011-02-16,12.97,0.929518699,0.93385214,0.864005011,2011/2/16,0.893920777,2011/2/16,0.948298789,2011/2/16,0.659944622,2011/2/16,0.842423196
2011-02-17,12.8,-1.31938274,-1.310717039,1.740770815,2011/2/17,0.860422574,2011/2/17,3.525061054,2011/2/17,0.214337262,2011/2/17,0.718652867
2011-02-18,12.52,-2.211780525,-2.1875,4.891973092,2011/2/18,1.386515638,2011/2/18,1.386515638,2011/2/18,1.850645489,2011/2/18,1.016630843
2011-02-22,12.09,-3.494870105,-3.434504792,12.21411705,2011/2/22,2.498977038,2011/2/22,8.38125694,2011/2/22,1.941306948,2011/2/22,2.13960897
2011-02-23,12.24,1.233061246,1.240694789,1.520440036,2011/2/23,2.206579746,2011/2/23,2.21341553,2011/2/23,1.04725578,2011/2/23,2.028178029
2011-02-24,12.25,0.081665991,0.081699346,0.006669334,2011/2/24,1.916491459,2011/2/24,2.082681926,2011/2/24,1.681541777,2011/2/24,1.862210238
2011-02-25,12.43,1.458696853,1.469387755,2.12779651,2011/2/25,0.514198639,2011/2/25,0.937918943,2011/2/25,0.354816794,2011/2/25,0.358230408
2011-02-28,12.61,1.437724445,1.448109413,2.067051581,2011/2/28,0.572187805,2011/2/28,1.348459759,2011/2/28,0.32116678,2011/2/28,0.523309161
2011-03-01,12.48,-1.036278704,-1.030927835,1.073873551,2011/3/1,1.522273802,2011/3/1,2.02805698,2011/3/1,0.863423958,2011/3/1,1.490722098
2011-03-02,12.58,0.798088833,0.801282051,0.636945786,2011/3/2,2.055630446,2011/3/2,2.081271466,2011/3/2,0.850158663,2011/3/2,1.818414282
2011-03-03,12.84,2.045704699,2.066772655,4.184907715,2011/3/3,0.440408399,2011/3/3,2.242183148,2011/3/3,0.292537932,2011/3/3,0.394151413
2011-03-04,12.86,0.155642055,0.15576324,0.024224449,2011/3/4,0.535845795,2011/3/4,0.560070244,2011/3/4,0.273609471,2011/3/4,0.478220219
2011-03-07,12.69,-1.330743708,-1.32192846,1.770878817,2011/3/7,1.436369664,2011/3/7,1.532816715,2011/3/7,2.357962127,2011/3/7,1.441194625
2011-03-08,12.71,0.157480348,0.157604413,0.02480006,2011/3/8,0.819145143,2011/3/8,0.825359827,2011/3/8,0.458017025,2011/3/8,0.731263092
2011-03-09,12.59,-0.948623715,-0.944138474,0.899886952,2011/3/9,0.996985631,2011/3/9,1.0963424,2011/3/9,0.256142862,2011/3/9,0.71416257
2011-03-10,12.38,-1.68205808,-1.667990469,2.829319384,2011/3/10,0.997970858,2011/3/10,1.768062248,2011/3/10,0.103639154,2011/3/10,0.768815146
2011-03-11,12.57,1.523075535,1.534733441,2.319759084,2011/3/11,1.099374436,2011/3/11,1.263152486,2011/3/11,1.115698824,2011/3/11,1.021768287
2011-03-14,12.63,0.476191376,0.477326969,0.226758227,2011/3/14,1.215492608,2011/3/14,1.316433992,2011/3/14,0.471954231,2011/3/14,1.111540849
2011-03-15,12.34,-2.322891789,-2.296120348,5.395826261,2011/3/15,2.391136641,2011/3/15,13.28178518,2011/3/15,1.257704236,2011/3/15,2.21417786
2011-03-16,11.79,-4.559430393,-4.457050243,20.78840551,2011/3/16,4.386226733,2011/3/16,5.507862427,2011/3/16,5.418903843,2011/3/16,4.634955447
2011-03-17,11.95,1.347956383,1.357082273,1.81698641,2011/3/17,1.42303655,2011/3/17,5.825784173,2011/3/17,0.907595276,2011/3/17,1.216560477
2011-03-18,11.81,-1.178464817,-1.171548117,1.388779324,2011/3/18,1.767843297,2011/3/18,2.462295779,2011/3/18,2.64222821,2011/3/18,1.299311819
2011-03-21,12.12,2.591035043,2.624894157,6.713462595,2011/3/21,0.787253349,2011/3/21,3.334475598,2011/3/21,0.247467955,2011/3/21,0.612591587
2011-03-22,12.19,0.575896285,0.577557756,0.331656531,2011/3/22,0.78918213,2011/3/22,1.759859582,2011/3/22,0.135403263,2011/3/22,0.551123127
2011-03-23,12.11,-0.658438593,-0.656275636,0.433541381,2011/3/23,0.782213727,2011/3/23,1.113870258,2011/3/23,0.651749688,2011/3/23,0.454139915
2011-03-24,12.32,1.719240054,1.734104046,2.955786363,2011/3/24,0.796767281,2011/3/24,1.473064724,2011/3/24,0.513700924,2011/3/24,0.715711796
2011-03-25,12.56,1.929320293,1.948051948,3.722276795,2011/3/25,0.684237077,2011/3/25,1.474370939,2011/3/25,0.848119849,2011/3/25,0.573056785
2011-03-28,12.52,-0.318979537,-0.318471338,0.101747945,2011/3/28,0.485309972,2011/3/28,0.643156383,2011/3/28,0.598991596,2011/3/28,0.306690138
2011-03-29,12.53,0.079840324,0.079872204,0.006374477,2011/3/29,0.637813341,2011/3/29,1.280903328,2011/3/29,0.687537054,2011/3/29,0.424984159
2011-03-30,12.45,-0.6405146,-0.638467678,0.410258952,2011/3/30,0.722550367,2011/3/30,0.722550367,2011/3/30,0.075152392,2011/3/30,0.618517977
2011-03-31,12.45,0.0,0.0,0.0,2011/3/31,0.574679358,2011/3/31,0.990244794,2011/3/31,0.151043752,2011/3/31,0.446329986
2011-04-01,12.31,-1.130868271,-1.124497992,1.278863047,2011/4/1,0.933471285,2011/4/1,1.45229074,2011/4/1,1.282239548,2011/4/1,0.69682865
2011-04-04,12.19,-0.97959967,-0.974817222,0.959615514,2011/4/4,1.395711133,2011/4/4,1.402315585,2011/4/4,0.713403646,2011/4/4,1.365744731
2011-04-05,12.1,-0.741049089,-0.73831009,0.549153752,2011/4/5,1.040496936,2011/4/5,2.573513253,2011/4/5,1.24292027,2011/4/5,0.86536518
2011-04-06,12.07,-0.248241749,-0.247933884,0.061623966,2011/4/6,1.407694348,2011/4/6,1.9568481,2011/4/6,1.10267999,2011/4/6,0.776498053
2011-04-07,12.07,0.0,0.0,0.0,2011/4/7,1.236152137,2011/4/7,1.243010584,2011/4/7,0.796819351,2011/4/7,1.14297025
2011-04-08,11.97,-0.831951554,-0.828500414,0.692143388,2011/4/8,0.913424669,2011/4/8,1.247826705,2011/4/8,0.698883727,2011/4/8,0.837476649
2011-04-11,11.81,-1.345688936,-1.336675021,1.810878713,2011/4/11,0.761119948,2011/4/11,0.873163014,2011/4/11,0.609773792,2011/4/11,0.793028223
2011-04-12,11.87,0.506757841,0.50804403,0.25680351,2011/4/12,0.868033607,2011/4/12,0.868033607,2011/4/12,0.199267728,2011/4/12,0.793133017
2011-04-13,12.0,1.089244117,1.095197978,1.186452746,2011/4/13,0.830396229,2011/4/13,1.534201611,2011/4/13,0.613539929,2011/4/13,0.618960911
2011-04-14,11.87,-1.089244117,-1.083333333,1.186452746,2011/4/14,0.621088485,2011/4/14,0.732571101,2011/4/14,0.346811572,2011/4/14,0.531938089
2011-04-15,11.69,-1.528043314,-1.51642797,2.334916369,2011/4/15,0.877217703,2011/4/15,0.99039442,2011/4/15,0.884901847,2011/4/15,0.486623501
2011-04-18,11.85,1.35940921,1.368691189,1.847993399,2011/4/18,3.772328553,2011/4/18,3.88981266,2011/4/18,4.578037402,2011/4/18,2.316203236
2011-04-19,12.07,1.839516753,1.856540084,3.383821884,2011/4/19,0.736269293,2011/4/19,0.913555135,2011/4/19,0.997523493,2011/4/19,0.63773733
2011-04-20,12.23,1.316891459,1.325600663,1.734203115,2011/4/20,0.90344847,2011/4/20,3.604285528,2011/4/20,1.150741809,2011/4/20,0.64614201
2011-04-21,12.52,2.343541597,2.371218316,5.492187218,2011/4/21,1.789805794,2011/4/21,14.84646485,2011/4/21,1.203051552,2011/4/21,1.585001435
2011-04-25,12.61,0.71627843,0.71884984,0.51305479,2011/4/25,0.467588646,2011/4/25,0.473973314,2011/4/25,0.133292658,2011/4/25,0.486328049
2011-04-26,12.52,-0.71627843,-0.71371927,0.51305479,2011/4/26,0.69159142,2011/4/26,0.716706899,2011/4/26,0.228780569,2011/4/26,0.527713326
2011-04-27,12.51,-0.079904119,-0.079872204,0.006384668,2011/4/27,1.008189819,2011/4/27,1.167044431,2011/4/27,1.149103922,2011/4/27,0.796444364
2011-04-28,12.38,-1.044605722,-1.039168665,1.091201115,2011/4/28,0.981029818,2011/4/28,2.436158735,2011/4/28,0.412407333,2011/4/28,0.836441973
2011-04-29,12.5,0.964637705,0.969305331,0.930525902,2011/4/29,1.493599785,2011/4/29,1.500119191,2011/4/29,2.178786308,2011/4/29,1.197620403
2011-05-02,12.37,-1.04544579,-1.04,1.092956901,2011/5/2,1.086690758,2011/5/2,1.093095882,2011/5/2,0.567425313,2011/5/2,0.863581679
2011-05-03,12.44,0.564290091,0.565885206,0.318423306,2011/5/3,0.816923291,2011/5/3,0.979645984,2011/5/3,0.49896492,2011/5/3,0.845906404
2011-05-04,12.48,0.321027563,0.321543408,0.103058696,2011/5/4,1.541860356,2011/5/4,1.541860356,2011/5/4,0.998054435,2011/5/4,0.613201712
2011-05-05,12.38,-0.804509568,-0.801282051,0.647235646,2011/5/5,0.928518614,2011/5/5,1.03157731,2011/5/5,0.630105176,2011/5/5,0.841429464
2011-05-06,12.38,0.0,0.0,0.0,2011/5/6,0.672653648,2011/5/6,1.455180871,2011/5/6,0.361554724,2011/5/6,0.548255961
2011-05-09,12.41,0.242033196,0.242326333,0.058580068,2011/5/9,0.531199371,2011/5/9,0.635257824,2011/5/9,0.25101482,2011/5/9,0.305721219
2011-05-10,12.48,0.562476372,0.564061241,0.31637967,2011/5/10,0.556789731,2011/5/10,0.718467236,2011/5/10,0.371891812,2011/5/10,0.335896047
2011-05-11,12.4,-0.643089033,-0.641025641,0.413563504,2011/5/11,0.67394714,2011/5/11,0.699670474,2011/5/11,0.433055666,2011/5/11,0.610776754
2011-05-12,12.38,-0.161420535,-0.161290323,0.026056589,2011/5/12,0.692333267,2011/5/12,0.796728207,2011/5/12,0.203535321,2011/5/12,0.590661923
2011-05-13,12.16,-1.793039072,-1.777059774,3.214989113,2011/5/13,0.706187446,2011/5/13,0.765052113,2011/5/13,0.704402407,2011/5/13,0.575109879
2011-05-16,11.9,-2.161347642,-2.138157895,4.67142363,2011/5/16,1.346524019,2011/5/16,1.516294304,2011/5/16,0.984249466,2011/5/16,1.12088985
2011-05-17,12.01,0.920123597,0.924369748,0.846627435,2011/5/17,1.500824562,2011/5/17,1.614191893,2011/5/17,1.217243222,2011/5/17,1.423560957
2011-05-18,12.14,1.076614954,1.082431307,1.159099759,2011/5/18,0.640884409,2011/5/18,0.647811526,2011/5/18,0.518856477,2011/5/18,0.492584877
2011-05-19,12.16,0.164609091,0.164744646,0.027096153,2011/5/19,0.582061896,2011/5/19,1.01347022,2011/5/19,0.526376808,2011/5/19,0.372479471
2011-05-20,11.97,-1.574835697,-1.5625,2.480107472,2011/5/20,0.892470973,2011/5/20,0.95348756,2011/5/20,0.810809088,2011/5/20,0.690074439
2011-05-23,11.94,-0.250941161,-0.250626566,0.062971466,2011/5/23,1.196588972,2011/5/23,3.756698204,2011/5/23,0.743613476,2011/5/23,1.178568583
2011-05-24,11.86,-0.672271439,-0.67001675,0.451948888,2011/5/24,0.882674234,2011/5/24,0.994530014,2011/5/24,0.589183944,2011/5/24,0.764725417
2011-05-25,12.03,1.423213642,1.433389545,2.02553707,2011/5/25,0.68116871,2011/5/25,0.858156342,2011/5/25,0.615784498,2011/5/25,0.622909257
2011-05-26,11.96,-0.583578146,-0.581878637,0.340563453,2011/5/26,0.459553119,2011/5/26,0.570479481,2011/5/26,0.303373664,2011/5/26,0.339343502
2011-05-27,12.05,0.749691141,0.752508361,0.562036808,2011/5/27,0.29096509,2011/5/27,0.29096509,2011/5/27,0.608898288,2011/5/27,0.250312827
2011-05-31,12.42,3.024341657,3.070539419,9.146642457,2011/5/31,0.477234987,2011/5/31,1.628693254,2011/5/31,0.722681754,2011/5/31,0.302264203
2011-06-01,12.34,-0.646205803,-0.644122383,0.41758194,2011/6/1,1.799285787,2011/6/1,1.902676129,2011/6/1,0.709742497,2011/6/1,1.526087376
2011-06-02,12.36,0.161943355,0.162074554,0.02622565,2011/6/2,0.790859179,2011/6/2,0.89559224,2011/6/2,0.414974941,2011/6/2,0.678042808
2011-06-03,12.27,-0.730819331,-0.72815534,0.534096894,2011/6/3,0.497393825,2011/6/3,1.157309844,2011/6/3,0.150578193,2011/6/3,0.406264925
2011-06-06,12.07,-1.643422361,-1.62999185,2.700837058,2011/6/6,1.672634334,2011/6/6,2.094978914,2011/6/6,1.576799772,2011/6/6,1.381338231
2011-06-07,11.86,-1.755164154,-1.73985087,3.080601207,2011/6/7,1.507437695,2011/6/7,1.514296142,2011/6/7,1.203156222,2011/6/7,1.431405808
2011-06-08,11.87,0.084281505,0.084317032,0.007103372,2011/6/8,1.608454321,2011/6/8,1.615569682,2011/6/8,0.328426146,2011/6/8,1.458883915
